variant,spec,family,outcome,coef,se,t,p,ivf,nobs,n_clusters,first_stage_F_lookup,tF_cv,ci95_low_tF,ci95_high_tF,reject_tF_5pct
adversarial,robustness_broader_lawsuits,candidate_pool,delta_log1p_total_candidates_2024_2020,-0.0752277389302998,0.0409570199898363,-1.83674835105112,0.066382752287777,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.164860760972825,0.0144052831122254,FALSE
adversarial,robustness_broader_lawsuits,candidate_pool,delta_female_share_2024_2020,-0.00560802430722456,0.0062563773868244,-0.89636925020456,0.370154282792334,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0192998898862815,0.00808384127183239,FALSE
adversarial,robustness_broader_lawsuits,candidate_pool,delta_nonwhite_share_2024_2020,-0.0176597199717423,0.0187460389137308,-0.942050747521236,0.346270752710282,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0586847779369321,0.0233653379934474,FALSE
adversarial,robustness_broader_lawsuits,candidate_pool,delta_new_candidate_share_2024_2020,-0.0195185933462551,0.015791948626842,-1.23598384261957,0.21659736439739,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0540787268646461,0.015041540172136,FALSE
adversarial,robustness_broader_lawsuits,candidate_pool,delta_incumbent_candidate_share_2024_2020,-0.00845017513722146,0.0103540639214724,-0.816121592575585,0.414519515407383,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0311096860082114,0.0142093357337685,FALSE
adversarial,robustness_broader_lawsuits,candidate_pool,delta_effective_party_count_candidates_2024_2020,-0.263732421068868,0.301083079271187,-0.875945674885711,0.381155807259294,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.922642329251704,0.395177487113968,FALSE
adversarial,robustness_broader_lawsuits,candidate_pool,delta_candidate_hhi_party_2024_2020,0.0109195789613818,0.0115381125361375,0.946392135384496,0.344053213289121,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0143311813609607,0.0361703392837244,FALSE
adversarial,robustness_broader_lawsuits,elected_comp,delta_elected_female_share_2024_2020,0.0130807389616758,0.0221093378936807,0.591638656235589,0.55415375959286,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0353047825255245,0.0614662604488762,FALSE
adversarial,robustness_broader_lawsuits,elected_comp,delta_elected_nonwhite_share_2024_2020,-0.0274277828170223,0.0258275726279883,-1.06195743642203,0.288372313896713,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0839505324517339,0.0290949668176892,FALSE
adversarial,robustness_broader_lawsuits,elected_comp,delta_elected_higher_ed_share_2024_2020,0.00645661678296651,0.0258050933176159,0.250207069724444,0.802450729770135,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.050016937658281,0.062930171224214,FALSE
adversarial,robustness_broader_lawsuits,elected_comp,delta_elected_mean_age_2024_2020,0.0392276393280961,0.576098527637449,0.0680918930464321,0.945718711131275,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-1.22154406816448,1.29999934682068,FALSE
adversarial,robustness_broader_lawsuits,elected_comp,delta_incumbent_reelected_share_2024_2020,0.00640251642143388,0.0249450062969157,0.256665255772074,0.797461348172418,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0481887673149616,0.0609938001578294,FALSE
adversarial,robustness_broader_lawsuits,party_comp,delta_party_count_2024_2020,-0.259870236663563,0.354214974140884,-0.733651188219397,0.463240028135029,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-1.03505745958264,0.515316986255514,FALSE
adversarial,robustness_broader_lawsuits,party_comp,delta_coalition_count_2024_2020,0.0738862888625471,0.0664549761041608,1.111824775119,0.26633575834279,235.756752242455,5560,2187,19.3844859279573,2.18846542216128,-0.0715481284719628,0.219320706197057,FALSE
