election_year,state,municipality_id_tse,municipality_name,main_subject_code,main_subject_name,topic_family,n_lawsuits,baseline_share_2020,leave_uf_out_2020,leave_uf_out_2024,shock_log_growth_2020_2024,bartik_component
2020,AC,01074,CRUZEIRO DO SUL,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1,0.03571428571428571,4903.0,4400.0,-0.10821941080495634,-0.003864978957319869
2020,AC,01074,CRUZEIRO DO SUL,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2,0.07142857142857142,4792.0,1707.0,-1.0318334248111158,-0.07370238748650827
2020,AC,01074,CRUZEIRO DO SUL,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3,0.10714285714285714,13359.0,12398.0,-0.0746493439107958,-0.007998143990442408
2020,AC,01074,CRUZEIRO DO SUL,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2,0.07142857142857142,1447.0,868.0,-0.5105954476802692,-0.036471103405733514
2020,AC,01074,CRUZEIRO DO SUL,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2,0.07142857142857142,1006.0,0.0,-6.914730892718563,-0.4939093494798973
2020,AC,01074,CRUZEIRO DO SUL,11718,Abuso - De Poder Econômico,abuse_misuse_office,1,0.03571428571428571,3152.0,2839.0,-0.10455032838980927,-0.003733940299636045
2020,AC,01074,CRUZEIRO DO SUL,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1,0.03571428571428571,2485.0,2494.0,0.003613736114963295,0.00012906200410583196
2020,AC,01074,CRUZEIRO DO SUL,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8,0.2857142857142857,8874.0,12973.0,0.3797090194293844,0.1084882912655384
2020,AC,01082,RODRIGUES ALVES,11593,Direito de Resposta,unmapped,7,0.25,1515.0,0.0,-7.323830566202317,-1.8309576415505793
2020,AC,01082,RODRIGUES ALVES,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1,0.03571428571428571,6086.0,4600.0,-0.27988167833845523,-0.0099957742263734
2020,AC,01082,RODRIGUES ALVES,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1,0.03571428571428571,4903.0,4400.0,-0.10821941080495634,-0.003864978957319869
2020,AC,01082,RODRIGUES ALVES,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2,0.07142857142857142,4792.0,1707.0,-1.0318334248111158,-0.07370238748650827
2020,AC,01082,RODRIGUES ALVES,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3,0.10714285714285714,13359.0,12398.0,-0.0746493439107958,-0.007998143990442408
2020,AC,01082,RODRIGUES ALVES,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2,0.07142857142857142,1447.0,868.0,-0.5105954476802692,-0.036471103405733514
2020,AC,01082,RODRIGUES ALVES,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2,0.07142857142857142,1006.0,0.0,-6.914730892718563,-0.4939093494798973
2020,AC,01082,RODRIGUES ALVES,11718,Abuso - De Poder Econômico,abuse_misuse_office,1,0.03571428571428571,3152.0,2839.0,-0.10455032838980927,-0.003733940299636045
2020,AC,01082,RODRIGUES ALVES,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1,0.03571428571428571,2485.0,2494.0,0.003613736114963295,0.00012906200410583196
2020,AC,01082,RODRIGUES ALVES,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8,0.2857142857142857,8874.0,12973.0,0.3797090194293844,0.1084882912655384
2020,AC,01090,MÂNCIO LIMA,11593,Direito de Resposta,unmapped,7,0.25,1515.0,0.0,-7.323830566202317,-1.8309576415505793
2020,AC,01090,MÂNCIO LIMA,11654,Propaganda Política - Propaganda Eleitoral - Alto-falante/Amplificador de Som,campaign_conduct,1,0.03571428571428571,6086.0,4600.0,-0.27988167833845523,-0.0099957742263734
2020,AC,01090,MÂNCIO LIMA,11655,Propaganda Política - Propaganda Eleitoral - Banner/Cartaz/Faixa,campaign_conduct,1,0.03571428571428571,4903.0,4400.0,-0.10821941080495634,-0.003864978957319869
2020,AC,01090,MÂNCIO LIMA,11662,Propaganda Política - Propaganda Eleitoral - Comício/Showmício,campaign_conduct,2,0.07142857142857142,4792.0,1707.0,-1.0318334248111158,-0.07370238748650827
2020,AC,01090,MÂNCIO LIMA,11667,Propaganda Política - Propaganda Eleitoral - Extemporânea/Antecipada,campaign_conduct,3,0.10714285714285714,13359.0,12398.0,-0.0746493439107958,-0.007998143990442408
2020,AC,01090,MÂNCIO LIMA,11668,Propaganda Política - Propaganda Eleitoral - Folhetos/Volantes/Santinhos/Impressos,campaign_conduct,2,0.07142857142857142,1447.0,868.0,-0.5105954476802692,-0.036471103405733514
2020,AC,01090,MÂNCIO LIMA,11680,Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias,unmapped,2,0.07142857142857142,1006.0,0.0,-6.914730892718563,-0.4939093494798973
2020,AC,01090,MÂNCIO LIMA,11718,Abuso - De Poder Econômico,abuse_misuse_office,1,0.03571428571428571,3152.0,2839.0,-0.10455032838980927,-0.003733940299636045
2020,AC,01090,MÂNCIO LIMA,11719,Abuso - De Poder Político/Autoridade,abuse_misuse_office,1,0.03571428571428571,2485.0,2494.0,0.003613736114963295,0.00012906200410583196
2020,AC,01090,MÂNCIO LIMA,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,8,0.2857142857142857,8874.0,12973.0,0.3797090194293844,0.1084882912655384
2020,AC,01104,JORDÃO,12592,Direito Líquido e Certo,unmapped,1,0.16666666666666666,654.0,0.0,-6.484635235635252,-1.0807725392725418
2020,AC,01104,JORDÃO,12635,Propaganda Política - Propaganda Eleitoral - Divulgação de Notícia  Sabidamente Falsa,information_environment,4,0.6666666666666666,8874.0,12973.0,0.3797090194293844,0.25313934628625623
